STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Tamilnadu,virudhunagar,Sathur,Potato,(Red Nanital),Local,40,50,50,6/19/2024
Tamilnadu,ramanathapuram,Sivagangai,Potato,(Red Nanital),Local,46,62,62,6/19/2024
Tamilnadu,thanjavur,Thanjavur,Potato,(Red Nanital),Local,44,44,44,6/19/2024
Tamilnadu,thiruvarur,Tiruthuraipoondi,Potato,(Red Nanital),Local,45,45,45,6/19/2024
Tamilnadu,coimbatore,Udumalpet,Potato,(Red Nanital),Local,45,70,70,6/19/2024
Tamilnadu,vellore,Arcot,Potato,(Red Nanital),Local,38,40,40,6/19/2024
Tamilnadu,erode,Gobichettipalayam,Potato,(Red Nanital),Local,46,48,48,6/19/2024
Tamilnadu,villupuram,Sangarapuram,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,virudhunagar,Virudhunagar,Potato,(Red Nanital),Local,48,49,49,6/19/2024
Tamilnadu,erode,Dharapuram,Potato,(Red Nanital),Local,45,80,80,6/19/2024
Tamilnadu,vellore,Vaniyambadi,Potato,(Red Nanital),Local,45,45,45,6/19/2024
Tamilnadu,salem,Thammampati,Potato,(Red Nanital),Local,45,50,50,6/19/2024
Tamilnadu,dharmapuri,Pennagaram,Potato,(Red Nanital),Local,42,44,44,6/19/2024
Tamilnadu,nagapattinam,Nagapattinam,Potato,(Red Nanital),Local,40,45,45,6/19/2024
Tamilnadu,namakkal,Tiruchengode,Potato,(Red Nanital),Local,40,45,45,6/19/2024
Tamilnadu,erode,Thalavadi,Potato,(Red Nanital),Local,38,42,42,6/19/2024
Tamilnadu,vellore,Thirupathur,Potato,(Red Nanital),Local,40,44,44,6/19/2024
Tamilnadu,sivaganga,Devakottai,Potato,(Red Nanital),Local,60,64,64,6/19/2024
Tamilnadu,cuddalore,Panruti,Potato,(Red Nanital),Local,45,50,50,6/19/2024
Tamilnadu,erode,Perundurai,Potato,(Red Nanital),Local,40,44,44,6/19/2024
Tamilnadu,karur,Karur,Potato,(Red Nanital),Local,50,70,70,6/19/2024
Tamilnadu,theni,Chinnamanur,Potato,(Red Nanital),Local,42,42,42,6/19/2024
Tamilnadu,theni,Cumbum,Potato,(Red Nanital),Local,40,40,40,6/19/2024
Tamilnadu,krishnagiri,Denkanikottai,Potato,(Red Nanital),Local,40,45,45,6/19/2024
Tamilnadu,sivaganga,Karaikudi,Potato,(Red Nanital),Local,45,60,60,6/19/2024
Tamilnadu,erode,Sathyamangalam,Potato,(Red Nanital),Local,40,45,45,6/19/2024
Tamilnadu,salem,Attur,Potato,(Red Nanital),Local,45,50,50,6/19/2024
Tamilnadu,theni,Theni,Potato,(Red Nanital),Local,0,40,40,6/19/2024
Tamilnadu,villupuram,Gingee,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,thanjavur,Pattukottai,Potato,(Red Nanital),Local,44,44,44,6/19/2024
Tamilnadu,thiruvarur,Thiruvarur,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,salem,Edappadi,Potato,(Red Nanital),Local,45,50,50,6/19/2024
Tamilnadu,thiruvarur,Mannarkudi,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,theni,Bodinayakkanur,Potato,(Red Nanital),Local,40,40,40,6/19/2024
Tamilnadu,thiruvarur,Mannargudi,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,sivaganga,Singampuneri,Potato,(Red Nanital),Local,45,65,65,6/19/2024
Tamilnadu,villupuram,Kallakurichi,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,vellore,Katpadi(Uzhavar Santhai),Potato,(Red Nanital),Local,40,40,40,6/19/2024
Tamilnadu,krishnagiri,Krishnagiri,Potato,(Red Nanital),Local,40,44,44,6/19/2024
Tamilnadu,nagapattinam,Sirkali,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,thanjavur,Kumbakonam,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,coimbatore,Sulur,Potato,(Red Nanital),Local,80,86,86,6/19/2024
Tamilnadu,dharmapuri,Pennagaram,Potato,(Red Nanital),Local,42,44,44,6/20/2024
Tamilnadu,nagapattinam,Nagapattinam,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,sivaganga,Karaikudi,Potato,(Red Nanital),Local,46,60,60,6/20/2024
Tamilnadu,thirunelveli,Thenkasi,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,virudhunagar,Virudhunagar,Potato,(Red Nanital),Local,45,50,50,6/20/2024
Tamilnadu,theni,Chinnamanur,Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,krishnagiri,Hosur,Potato,(Red Nanital),Local,35,40,40,6/20/2024
Tamilnadu,erode,Perundurai,Potato,(Red Nanital),Local,35,40,40,6/20/2024
Tamilnadu,vellore,Arcot,Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,salem,Edappadi,Potato,(Red Nanital),Local,50,80,80,6/20/2024
Tamilnadu,thanjavur,Papanasam,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,dharmapuri,Dharampuri,Potato,(Red Nanital),Local,40,46,46,6/20/2024
Tamilnadu,coimbatore,Palladam,Potato,(Red Nanital),Local,35,45,45,6/20/2024
Tamilnadu,kancheepuram,Chengalpattu,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,erode,Gobichettipalayam,Potato,(Red Nanital),Local,45,48,48,6/20/2024
Tamilnadu,sivaganga,Singampuneri,Potato,(Red Nanital),Local,45,65,65,6/20/2024
Tamilnadu,thiruvarur,Mannarkudi,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,thiruvarur,Thiruvarur,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,dharmapuri,Palakode,Potato,(Red Nanital),Local,42,46,46,6/20/2024
Tamilnadu,dindigul,Dindigul,Potato,(Red Nanital),Local,40,50,50,6/20/2024
Tamilnadu,cuddalore,Cuddalore,Potato,(Red Nanital),Local,48,48,48,6/20/2024
Tamilnadu,thiruvarur,Tiruthuraipoondi,Potato,(Red Nanital),Local,45,45,45,6/20/2024
Tamilnadu,krishnagiri,Krishnagiri,Potato,(Red Nanital),Local,40,44,44,6/20/2024
Tamilnadu,ramanathapuram,Sivagangai,Potato,(Red Nanital),Local,46,62,62,6/20/2024
Tamilnadu,erode,Sathyamangalam,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,theni,Bodinayakkanur,Potato,(Red Nanital),Local,42,42,42,6/20/2024
Tamilnadu,coimbatore,Pollachi,Potato,(Red Nanital),Local,55,65,65,6/20/2024
Tamilnadu,theni,Cumbum,Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,villupuram,Ulundurpettai,Potato,(Red Nanital),Local,50,50,50,6/20/2024
Tamilnadu,thanjavur,Kumbakonam,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,salem,Attur,Potato,(Red Nanital),Local,45,50,50,6/20/2024
Tamilnadu,sivaganga,Devakottai,Potato,(Red Nanital),Local,55,64,64,6/20/2024
Tamilnadu,namakkal,Tiruchengode,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,vellore,Vaniyambadi,Potato,(Red Nanital),Local,45,45,45,6/20/2024
Tamilnadu,theni,Theni,Potato,(Red Nanital),Local,0,40,40,6/20/2024
Tamilnadu,nagapattinam,Mailaduthurai,Potato,(Red Nanital),Local,45,50,50,6/20/2024
Tamilnadu,kancheepuram,Kanchipuram,Potato,(Red Nanital),Local,40,50,50,6/20/2024
Tamilnadu,cuddalore,Chidambaram,Potato,(Red Nanital),Local,50,50,50,6/20/2024
Tamilnadu,thanjavur,Pattukottai,Potato,(Red Nanital),Local,44,44,44,6/20/2024
Tamilnadu,erode,Thalavadi,Potato,(Red Nanital),Local,36,40,40,6/20/2024
Tamilnadu,thiruvarur,Mannargudi,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,vellore,Vellore,Potato,(Red Nanital),Local,38,42,42,6/20/2024
Tamilnadu,coimbatore,Sulur,Potato,(Red Nanital),Local,80,86,86,6/20/2024
Tamilnadu,villupuram,Kallakurichi,Potato,(Red Nanital),Local,50,50,50,6/20/2024
Tamilnadu,villupuram,Sangarapuram,Potato,(Red Nanital),Local,50,50,50,6/20/2024
Tamilnadu,namakkal,Rasipuram,Potato,(Red Nanital),Local,45,50,50,6/20/2024
Tamilnadu,vellore,Gudiyatham,Potato,(Red Nanital),Local,45,45,45,6/20/2024
Tamilnadu,vellore,Katpadi(Uzhavar Santhai),Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,thanjavur,Thanjavur,Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,namakkal,Namakkal,Potato,(Red Nanital),Local,40,44,44,6/20/2024
Tamilnadu,vellore,Thirupathur,Potato,(Red Nanital),Local,40,44,44,6/20/2024
Tamilnadu,ramanathapuram,Paramakudi,Potato,(Red Nanital),Local,50,60,60,6/20/2024
Tamilnadu,erode,Dharapuram,Potato,(Red Nanital),Local,55,80,80,6/20/2024
Tamilnadu,nagapattinam,Sirkali,Potato,(Red Nanital),Local,40,40,40,6/20/2024
Tamilnadu,krishnagiri,Denkanikottai,Potato,(Red Nanital),Local,40,45,45,6/20/2024
Tamilnadu,coimbatore,Udumalpet,Potato,(Red Nanital),Local,45,70,70,6/20/2024
Tamilnadu,villupuram,Gingee,Potato,(Red Nanital),Local,50,50,50,6/20/2024
Tamilnadu,salem,Thammampati,Potato,(Red Nanital),Local,46,50,50,6/20/2024
Tamilnadu,karur,Karur,Potato,(Red Nanital),Local,50,70,70,6/20/2024
Tamilnadu,villupuram,Tindivanam,Potato,(Red Nanital),Local,46,46,46,6/20/2024
Tamilnadu,dindigul,Palani,Potato,(Red Nanital),Local,45,55,55,6/20/2024
Tamilnadu,virudhunagar,Sathur,Potato,(Red Nanital),Local,48,50,50,6/20/2024
Tamilnadu,thiruvarur,Mannargudi,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,salem,Edappadi,Potato,(Red Nanital),Local,45,50,50,6/21/2024
Tamilnadu,thanjavur,Thanjavur,Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,coimbatore,Sulur,Potato,(Red Nanital),Local,40,85,85,6/21/2024
Tamilnadu,theni,Bodinayakkanur,Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,krishnagiri,Denkanikottai,Potato,(Red Nanital),Local,40,45,45,6/21/2024
Tamilnadu,vellore,Vellore,Potato,(Red Nanital),Local,38,38,38,6/21/2024
Tamilnadu,cuddalore,Chidambaram,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,sivaganga,Devakottai,Potato,(Red Nanital),Local,60,64,64,6/21/2024
Tamilnadu,krishnagiri,Hosur,Potato,(Red Nanital),Local,35,40,40,6/21/2024
Tamilnadu,namakkal,Tiruchengode,Potato,(Red Nanital),Local,40,45,45,6/21/2024
Tamilnadu,virudhunagar,Virudhunagar,Potato,(Red Nanital),Local,50,55,55,6/21/2024
Tamilnadu,kancheepuram,Chengalpattu,Potato,(Red Nanital),Local,30,335,335,6/21/2024
Tamilnadu,nagapattinam,Mailaduthurai,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,villupuram,Kallakurichi,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,dharmapuri,Dharampuri,Potato,(Red Nanital),Local,43,46,46,6/21/2024
Tamilnadu,vellore,Gudiyatham,Potato,(Red Nanital),Local,45,45,45,6/21/2024
Tamilnadu,erode,Sathyamangalam,Potato,(Red Nanital),Local,40,45,45,6/21/2024
Tamilnadu,vellore,Vaniyambadi,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,villupuram,Tindivanam,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,salem,Thammampati,Potato,(Red Nanital),Local,48,50,50,6/21/2024
Tamilnadu,vellore,Katpadi(Uzhavar Santhai),Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,villupuram,Gingee,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,dindigul,Palani,Potato,(Red Nanital),Local,45,55,55,6/21/2024
Tamilnadu,coimbatore,Palladam,Potato,(Red Nanital),Local,35,45,45,6/21/2024
Tamilnadu,thanjavur,Kumbakonam,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,krishnagiri,Krishnagiri,Potato,(Red Nanital),Local,40,44,44,6/21/2024
Tamilnadu,vellore,Arcot,Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,erode,Gobichettipalayam,Potato,(Red Nanital),Local,45,48,48,6/21/2024
Tamilnadu,coimbatore,Pollachi,Potato,(Red Nanital),Local,55,65,65,6/21/2024
Tamilnadu,ramanathapuram,Sivagangai,Potato,(Red Nanital),Local,46,62,62,6/21/2024
Tamilnadu,dharmapuri,Palakode,Potato,(Red Nanital),Local,42,46,46,6/21/2024
Tamilnadu,theni,Theni,Potato,(Red Nanital),Local,0,40,40,6/21/2024
Tamilnadu,theni,Cumbum,Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,namakkal,Rasipuram,Potato,(Red Nanital),Local,45,50,50,6/21/2024
Tamilnadu,nagapattinam,Sirkali,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,erode,Thalavadi,Potato,(Red Nanital),Local,36,42,42,6/21/2024
Tamilnadu,dindigul,Dindigul,Potato,(Red Nanital),Local,40,50,50,6/21/2024
Tamilnadu,thirunelveli,Thenkasi,Potato,(Red Nanital),Local,40,45,45,6/21/2024
Tamilnadu,kancheepuram,Kanchipuram,Potato,(Red Nanital),Local,40,50,50,6/21/2024
Tamilnadu,thiruvarur,Mannarkudi,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,villupuram,Sangarapuram,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,sivaganga,Singampuneri,Potato,(Red Nanital),Local,45,65,65,6/21/2024
Tamilnadu,cuddalore,Cuddalore,Potato,(Red Nanital),Local,48,48,48,6/21/2024
Tamilnadu,namakkal,Namakkal,Potato,(Red Nanital),Local,40,44,44,6/21/2024
Tamilnadu,virudhunagar,Sathur,Potato,(Red Nanital),Local,40,50,50,6/21/2024
Tamilnadu,karur,Karur,Potato,(Red Nanital),Local,50,70,70,6/21/2024
Tamilnadu,sivaganga,Karaikudi,Potato,(Red Nanital),Local,45,60,60,6/21/2024
Tamilnadu,thiruvarur,Tiruthuraipoondi,Potato,(Red Nanital),Local,40,40,40,6/21/2024
Tamilnadu,thiruvarur,Thiruvarur,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,dharmapuri,Pennagaram,Potato,(Red Nanital),Local,42,44,44,6/21/2024
Tamilnadu,cuddalore,Panruti,Potato,(Red Nanital),Local,45,50,50,6/21/2024
Tamilnadu,nagapattinam,Nagapattinam,Potato,(Red Nanital),Local,35,40,40,6/21/2024
Tamilnadu,coimbatore,Udumalpet,Potato,(Red Nanital),Local,45,70,70,6/21/2024
Tamilnadu,ramanathapuram,Paramakudi,Potato,(Red Nanital),Local,50,60,60,6/21/2024
Tamilnadu,theni,Chinnamanur,Potato,(Red Nanital),Local,40,42,42,6/21/2024
Tamilnadu,thanjavur,Papanasam,Potato,(Red Nanital),Local,46,46,46,6/21/2024
Tamilnadu,villupuram,Ulundurpettai,Potato,(Red Nanital),Local,50,50,50,6/21/2024
Tamilnadu,thanjavur,Pattukottai,Potato,(Red Nanital),Local,44,44,44,6/21/2024
Tamilnadu,erode,Perundurai,Potato,(Red Nanital),Local,40,45,45,6/21/2024
Tamilnadu,vellore,Thirupathur,Potato,(Red Nanital),Local,40,44,44,6/21/2024
Tamilnadu,salem,Attur,Potato,(Red Nanital),Local,45,50,50,6/21/2024
Tamilnadu,coimbatore,Udumalpet,Potato,(Red Nanital),Local,45,70,70,6/22/2024
Tamilnadu,theni,Bodinayakkanur,Potato,(Red Nanital),Local,40,40,40,6/22/2024
Tamilnadu,vellore,Vellore,Potato,(Red Nanital),Local,38,38,38,6/22/2024
Tamilnadu,cuddalore,Cuddalore,Potato,(Red Nanital),Local,48,48,48,6/22/2024
Tamilnadu,salem,Thammampati,Potato,(Red Nanital),Local,46,50,50,6/22/2024
Tamilnadu,coimbatore,Pollachi,Potato,(Red Nanital),Local,55,65,65,6/22/2024
Tamilnadu,krishnagiri,Hosur,Potato,(Red Nanital),Local,35,40,40,6/22/2024
Tamilnadu,kancheepuram,Chengalpattu,Potato,(Red Nanital),Local,30,40,40,6/22/2024
